iter	Logloss
0	0.3294464269
1	0.2571696895
2	0.2113299448
3	0.1703117351
4	0.1525906201
5	0.1340998404
6	0.1192890787
7	0.1147235619
8	0.1023649396
9	0.1009127735
10	0.08830923959
11	0.08235826736
12	0.07621824856
13	0.06602035107
14	0.05748671855
15	0.05055515938
16	0.04973146056
17	0.04440297954
18	0.04293033054
19	0.04228697144
